theta dim c
109.00727 1.1732664 2.51455
109.58256 1.1728683 1.95904
110.10078 1.1694427 2.60531
110.56999 1.1816708 2.04532
110.99683 1.1713421 2.68753
111.38676 1.1754990 2.12385
111.74438 1.1699044 2.76268
112.07353 1.1761996 2.19590
112.65901 1.1716391 2.26245
113.16404 1.1739341 2.32428
113.60412 1.1898943 2.38202
113.99102 1.1896205 2.43616
114.33381 1.1729221 2.48714
114.63963 1.1720465 2.53529
114.91415 1.1718823 2.58092
115.16194 1.1742909 2.62428
115.38672 1.1731881 2.66558
115.59154 1.1738060 2.70501
115.77897 1.1749527 2.74273
